user_id,date,description,category,type,amount,month,category_id
1,2024-10-11,Gaji bulanan,Salary,income,8713953.0,2024-10,8
1,2024-10-25,Keuntungan usaha kecil,Business,income,8713953.0,2024-10,9
1,2024-10-26,Cashback e-wallet,Other Income,income,8713953.0,2024-10,11
1,2024-10-16,Bayar air PDAM,Bills & Utilities,expense,492013.95,2024-10,4
1,2024-10-06,Naik KRL ke kantor,Transportation,expense,156689.93,2024-10,2
1,2024-10-09,Beli buku pelajaran,Education,expense,113381.89,2024-10,7
1,2024-10-14,Beli obat di apotek,Health & Medical,expense,114979.22,2024-10,6
1,2024-10-24,Bayar uang sekolah,Education,expense,226717.58,2024-10,7
1,2024-10-11,Cek kesehatan di klinik,Health & Medical,expense,77997.18,2024-10,6
1,2024-10-08,Rawat gigi,Health & Medical,expense,100208.75,2024-10,6
1,2024-10-05,Naik ojek online,Transportation,expense,482712.2,2024-10,2
1,2024-10-17,Langganan pascabayar Telkomsel,Bills & Utilities,expense,388278.62,2024-10,4
1,2024-10-17,Beli buku pelajaran,Education,expense,286595.15,2024-10,7
1,2024-10-25,Makan siang di restoran,Food & Dining,expense,132053.64,2024-10,1
1,2024-10-20,Beli tiket konser,Entertainment,expense,455225.31,2024-10,5
1,2024-10-31,Nonton bioskop CGV,Entertainment,expense,304126.28,2024-10,5
1,2024-10-30,Bayar air PDAM,Bills & Utilities,expense,148576.78,2024-10,4
1,2024-10-20,Top up e-money,Transportation,expense,246037.43,2024-10,2
1,2024-10-08,Pesan GoFood nasi goreng,Food & Dining,expense,327160.45,2024-10,1
1,2024-10-14,Beli sepatu di marketplace,Shopping,expense,311624.97,2024-10,3
1,2024-10-22,Bayar listrik PLN,Bills & Utilities,expense,119864.54,2024-10,4
1,2024-10-04,Bayar uang sekolah,Education,expense,65591.96,2024-10,7
1,2024-10-01,Donasi ke panti asuhan,Gift & Donation,expense,199766.13,2024-10,10
1,2024-10-21,Ngopi di Starbucks,Food & Dining,expense,328348.89,2024-10,1
1,2024-10-19,Biaya administrasi bank,Other Expense,expense,33030.97,2024-10,12
1,2024-10-15,Biaya administrasi bank,Other Expense,expense,455099.99,2024-10,12
1,2024-10-19,Biaya administrasi bank,Other Expense,expense,414082.16,2024-10,12
1,2024-10-21,Biaya parkir,Other Expense,expense,143633.66,2024-10,12
1,2024-10-02,Beli obat di apotek,Health & Medical,expense,359774.35,2024-10,6
1,2024-10-05,Beli nasi padang,Food & Dining,expense,387301.77,2024-10,1
1,2024-10-27,Rawat gigi,Health & Medical,expense,421722.97,2024-10,6
1,2024-10-03,Belanja kebutuhan rumah tangga,Shopping,expense,200483.84,2024-10,3
1,2024-10-10,Isi bensin motor,Transportation,expense,307543.17,2024-10,2
1,2024-10-08,Beli tiket konser,Entertainment,expense,424320.1,2024-10,5
1,2024-10-16,Langganan Netflix,Entertainment,expense,115159.72,2024-10,5
1,2024-10-28,Top up e-money,Transportation,expense,489905.87,2024-10,2
1,2024-10-16,Sedekah Jumat,Gift & Donation,expense,409546.59,2024-10,10
1,2024-10-20,Makan siang di restoran,Food & Dining,expense,118959.92,2024-10,1
1,2024-10-28,Sedekah Jumat,Gift & Donation,expense,480695.95,2024-10,10
1,2024-10-27,Beli alat tulis,Education,expense,459995.84,2024-10,7
1,2024-10-31,Bayar uang sekolah,Education,expense,276327.06,2024-10,7
1,2024-10-26,Biaya parkir,Other Expense,expense,66890.07,2024-10,12
1,2024-10-15,Main game online,Entertainment,expense,167871.77,2024-10,5
1,2024-10-20,Kursus online,Education,expense,334812.99,2024-10,7
1,2024-10-07,Beli obat di apotek,Health & Medical,expense,399146.12,2024-10,6
1,2024-10-28,Beli baju di Uniqlo,Shopping,expense,497997.16,2024-10,3
1,2024-10-31,Makan malam di warung bakso,Food & Dining,expense,265843.82,2024-10,1
1,2024-10-16,Beli obat di apotek,Health & Medical,expense,96206.83,2024-10,6
1,2024-10-28,Naik KRL ke kantor,Transportation,expense,26665.64,2024-10,2
1,2024-10-17,Sedekah Jumat,Gift & Donation,expense,23485.77,2024-10,10
1,2024-10-19,Bayar tol,Transportation,expense,25289.76,2024-10,2
1,2024-10-26,Main game online,Entertainment,expense,22034.43,2024-10,5
1,2024-10-17,Langganan pascabayar Telkomsel,Bills & Utilities,expense,20952.6,2024-10,4
1,2024-10-31,Sedekah Jumat,Gift & Donation,expense,20063.15,2024-10,10
1,2024-10-05,Biaya administrasi bank,Other Expense,expense,20092.53,2024-10,12
1,2024-10-19,Belanja kebutuhan rumah tangga,Shopping,expense,20019.2,2024-10,3
1,2024-10-21,Naik KRL ke kantor,Transportation,expense,20006.77,2024-10,2
1,2024-10-10,Biaya parkir,Other Expense,expense,20003.05,2024-10,12
1,2024-10-28,Ngopi di Starbucks,Food & Dining,expense,20002.42,2024-10,1
1,2024-10-14,Sedekah Jumat,Gift & Donation,expense,20000.1,2024-10,10
1,2024-10-02,Potongan e-wallet,Other Expense,expense,20000.42,2024-10,12
1,2024-10-24,Beli vitamin,Health & Medical,expense,20000.29,2024-10,6
1,2024-10-09,Beli sepatu di marketplace,Shopping,expense,20000.03,2024-10,3
1,2024-10-25,Tagihan internet Indihome,Bills & Utilities,expense,20000.0,2024-10,4
1,2024-10-23,Naik KRL ke kantor,Transportation,expense,20000.01,2024-10,2
1,2024-10-30,Naik ojek online,Transportation,expense,20000.0,2024-10,2
1,2024-10-08,Beli vitamin,Health & Medical,expense,20000.0,2024-10,6
1,2024-10-10,Beli sepatu di marketplace,Shopping,expense,20000.01,2024-10,3
1,2024-10-19,Donasi ke panti asuhan,Gift & Donation,expense,20000.0,2024-10,10
1,2024-10-29,Kursus online,Education,expense,20000.0,2024-10,7
1,2024-10-23,Beli nasi padang,Food & Dining,expense,20000.0,2024-10,1
1,2024-10-27,Isi bensin motor,Transportation,expense,20000.0,2024-10,2
1,2024-10-30,Naik ojek online,Transportation,expense,20000.0,2024-10,2
1,2024-10-23,Bayar listrik PLN,Bills & Utilities,expense,20000.0,2024-10,4
1,2024-10-03,Beli obat di apotek,Health & Medical,expense,20000.0,2024-10,6
1,2024-10-10,Beli sepatu di marketplace,Shopping,expense,20000.0,2024-10,3
1,2024-10-17,Beli baju di Uniqlo,Shopping,expense,20000.0,2024-10,3
1,2024-10-10,Biaya administrasi bank,Other Expense,expense,20000.0,2024-10,12
1,2024-10-06,Top up e-money,Transportation,expense,20000.0,2024-10,2
1,2024-10-15,Beli buku pelajaran,Education,expense,20000.0,2024-10,7
1,2024-10-05,Bayar pulsa,Bills & Utilities,expense,20000.0,2024-10,4
1,2024-10-10,Langganan Spotify Premium,Entertainment,expense,20000.0,2024-10,5
1,2024-10-10,Tagihan internet Indihome,Bills & Utilities,expense,20000.0,2024-10,4
1,2024-10-09,Hadiah ulang tahun teman,Gift & Donation,expense,20000.0,2024-10,10
1,2024-10-29,Hadiah ulang tahun teman,Gift & Donation,expense,20000.0,2024-10,10
1,2024-10-08,Beli buku online,Shopping,expense,20000.0,2024-10,3
1,2024-10-10,Sedekah Jumat,Gift & Donation,expense,20000.0,2024-10,10
1,2024-10-30,Beli tiket konser,Entertainment,expense,20000.0,2024-10,5
1,2024-10-11,Bayar tol,Transportation,expense,20000.0,2024-10,2
