user_id,month,limit,spent,category_id
1,2024-11,4978764,3193135.75,1
1,2024-11,4306451,4622723.95,2
1,2024-11,4739995,2845057.34,3
1,2024-11,3451201,3053810.4,4
1,2024-11,851850,674109.08,5
1,2024-11,1119503,695967.81,6
1,2024-11,2074636,2263432.03,7
1,2024-11,6666787,0.0,8
1,2024-11,11902179,0.0,9
1,2024-11,712971,646103.89,10
1,2024-11,14290616,0.0,11
1,2024-11,4580031,2901039.98,12
1,2024-12,1929599,1900341.72,1
1,2024-12,523333,499319.83,2
1,2024-12,3635303,3855748.91,3
1,2024-12,3273516,2814785.98,4
1,2024-12,556941,500041.53,5
1,2024-12,4881295,3412276.53,6
1,2024-12,1323207,954992.87,7
1,2024-12,5543350,0.0,8
1,2024-12,6947247,0.0,9
1,2024-12,1441798,1263536.97,10
1,2024-12,11173346,0.0,11
1,2024-12,1026412,1122926.22,12
1,2025-01,4163940,4091314.45,1
1,2025-01,4014427,4039825.21,2
1,2025-01,1776931,1796820.34,3
1,2025-01,3018855,2607392.09,4
1,2025-01,4759332,4757197.7,5
1,2025-01,4129218,3301594.68,6
1,2025-01,907182,887686.22,7
1,2025-01,14440418,0.0,8
1,2025-01,12241039,0.0,9
1,2025-01,538688,527351.69,10
1,2025-01,19350781,0.0,11
1,2025-01,2352451,1816403.11,12
1,2025-02,4863091,4209482.32,1
1,2025-02,2917734,1985405.35,2
1,2025-02,2648327,2912796.95,3
1,2025-02,2768571,2160926.32,4
1,2025-02,4978798,3352681.53,5
1,2025-02,2612594,2280307.28,6
1,2025-02,1544849,927170.14,7
1,2025-02,17247101,0.0,8
1,2025-02,15467485,0.0,9
1,2025-02,4895748,4923780.45,10
1,2025-02,14044645,0.0,11
1,2025-02,4948223,4382194.99,12
1,2025-03,4513692,4778181.85,1
1,2025-03,3180210,2725560.85,2
1,2025-03,2874931,2570213.29,3
1,2025-03,4538247,4760888.25,4
1,2025-03,3720571,3511064.51,5
1,2025-03,2025475,1424898.61,6
1,2025-03,2090216,1404017.97,7
1,2025-03,12440094,0.0,8
1,2025-03,19340160,0.0,9
1,2025-03,1567968,1143404.75,10
1,2025-03,5190915,0.0,11
1,2025-03,1092582,973607.45,12
1,2025-04,1939135,2070510.89,1
1,2025-04,1745626,1795331.37,2
1,2025-04,2301681,2222566.64,3
1,2025-04,2475728,2329332.25,4
1,2025-04,1444913,1394378.34,5
1,2025-04,2983232,2895794.88,6
1,2025-04,1563076,1246326.64,7
1,2025-04,19775151,0.0,8
1,2025-04,8845531,0.0,9
1,2025-04,4081571,4065492.19,10
1,2025-04,6300273,0.0,11
1,2025-04,4577940,3097506.62,12
1,2025-05,3813229,2889126.14,1
1,2025-05,4974530,3552337.49,2
1,2025-05,3261232,3140509.18,3
1,2025-05,4632366,3607009.89,4
1,2025-05,4640944,3888006.52,5
1,2025-05,2479932,2670199.09,6
1,2025-05,1552726,1170417.8,7
1,2025-05,13509526,0.0,8
1,2025-05,12613590,0.0,9
1,2025-05,3880867,3532015.28,10
1,2025-05,12001124,0.0,11
1,2025-05,3077144,2355552.32,12
1,2025-06,2387614,2582703.29,1
1,2025-06,1605827,1170177.89,2
1,2025-06,1252824,961003.13,3
1,2025-06,1538502,1304183.54,4
1,2025-06,1833678,1740864.23,5
1,2025-06,911180,593064.89,6
1,2025-06,2501644,1939455.72,7
1,2025-06,18305915,0.0,8
1,2025-06,15305266,0.0,9
1,2025-06,803056,824610.22,10
1,2025-06,5121108,0.0,11
1,2025-06,1319194,1325351.82,12
1,2025-07,3121816,3055541.31,1
1,2025-07,2191368,2058138.85,2
1,2025-07,2556948,1780533.05,3
1,2025-07,755959,700343.66,4
1,2025-07,4970670,4435526.3,5
1,2025-07,2681623,2362183.44,6
1,2025-07,2966856,2074141.68,7
1,2025-07,9645466,0.0,8
1,2025-07,12699810,0.0,9
1,2025-07,757225,589716.26,10
1,2025-07,17648755,0.0,11
1,2025-07,4758153,4618962.2,12
1,2025-08,4208904,3689435.76,1
1,2025-08,1132377,1148700.01,2
1,2025-08,3580309,2863883.73,3
1,2025-08,3234309,2616029.4,4
1,2025-08,1044537,1084561.95,5
1,2025-08,2714922,1748778.18,6
1,2025-08,1138811,1202962.84,7
1,2025-08,13804591,0.0,8
1,2025-08,12169698,0.0,9
1,2025-08,4423749,3856699.57,10
1,2025-08,6533848,0.0,11
1,2025-08,2425664,1594120.43,12
1,2025-09,3375142,3573506.45,1
1,2025-09,4651527,2854815.04,2
1,2025-09,1389179,1211960.81,3
1,2025-09,4155380,4392372.4,4
1,2025-09,1244161,960848.96,5
1,2025-09,2476744,1640431.52,6
1,2025-09,4397444,2641012.87,7
1,2025-09,15473998,0.0,8
1,2025-09,17648635,0.0,9
1,2025-09,2955766,2212697.4,10
1,2025-09,9288117,0.0,11
1,2025-09,682727,413597.26,12
1,2025-10,355818,385699.5,1
