user_id,month,limit,spent,category_id
1,2024-10,9726414.59,7986158.79,1
1,2024-10,7489258.86,8711356.08,2
1,2024-10,11169057.29,9938082.63,3
1,2024-10,12567458.16,11569322.33,4
1,2024-10,15002358.7,12950471.47,5
1,2024-10,8502426.9,9420729.6,6
1,2024-10,6782542.31,7328334.02,7
1,2024-10,11667548.0,0.0,8
1,2024-10,10301575.0,0.0,9
1,2024-10,10966065.56,12220454.49,10
1,2024-10,12513645.0,0.0,11
1,2024-10,4940622.96,5751064.44,12
1,2024-11,11068576.82,11942692.03,1
1,2024-11,11008968.91,10277385.81,2
1,2024-11,12794249.41,10959317.26,3
1,2024-11,10062040.51,9480681.56,4
1,2024-11,8391418.33,9787346.67,5
1,2024-11,10449369.78,9539264.94,6
1,2024-11,10257665.43,9334453.16,7
1,2024-11,15115169.0,0.0,8
1,2024-11,16299764.0,0.0,9
1,2024-11,7655864.84,8249160.25,10
1,2024-11,16566296.0,0.0,11
1,2024-11,10131116.62,9039656.62,12
1,2024-12,15819092.51,12670621.86,1
1,2024-12,9297939.54,10256068.76,2
1,2024-12,13790322.02,11573099.629999999,3
1,2024-12,11285831.33,9532626.53,4
1,2024-12,11108329.51,9769658.82,5
1,2024-12,9327089.3,10809910.97,6
1,2024-12,7865223.1,7095864.31,7
1,2024-12,19890068.0,0.0,8
1,2024-12,14802389.0,0.0,9
1,2024-12,8380658.28,6899138.33,10
1,2024-12,8486583.0,0.0,11
1,2024-12,9383542.94,7735542.12,12
1,2025-01,9589673.27,8274151.03,1
1,2025-01,11649489.12,9984936.09,2
1,2025-01,10737969.7,10219368.97,3
1,2025-01,12205869.72,11154120.49,4
1,2025-01,9907079.59,9227623.62,5
1,2025-01,10152621.45,9410638.18,6
1,2025-01,8269477.33,7452939.35,7
1,2025-01,8175067.0,0.0,8
1,2025-01,7580974.0,0.0,9
1,2025-01,11587648.22,10721041.77,10
1,2025-01,7444269.0,0.0,11
1,2025-01,12865598.12,10509726.72,12
1,2025-02,8230682.52,8891210.7,1
1,2025-02,8945100.45,10332725.11,2
1,2025-02,11796971.68,10031803.44,3
1,2025-02,9456832.62,8971938.68,4
1,2025-02,12746640.82,11418159.98,5
1,2025-02,9627122.12,8290395.94,6
1,2025-02,12294252.26,11161350.17,7
1,2025-02,19140767.0,0.0,8
1,2025-02,9983017.0,0.0,9
1,2025-02,11730369.76,13751974.43,10
1,2025-02,12070677.0,0.0,11
1,2025-02,12764400.67,11608851.0,12
1,2025-03,14145081.11,11838831.37,1
1,2025-03,11927348.58,10951158.17,2
1,2025-03,15762620.16,12859949.02,3
1,2025-03,9017590.49,8228339.13,4
1,2025-03,10592181.22,11876870.28,5
1,2025-03,3767097.44,4414812.56,6
1,2025-03,9552603.53,8361095.79,7
1,2025-03,13968242.0,0.0,8
1,2025-03,19815807.0,0.0,9
1,2025-03,11365551.8,9719364.97,10
1,2025-03,9791307.0,0.0,11
