user_id,date,description,category,type,amount,month,category_id
1,2024-10-16,Pendapatan toko online,Business,income,330005.56,2024-10,9
1,2024-10-13,Beli buku online,Shopping,expense,20214.75,2024-10,3
1,2024-10-13,Donasi ke panti asuhan,Gift & Donation,expense,51577.12,2024-10,10
1,2024-10-07,Naik ojek online,Transportation,expense,76969.84,2024-10,2
1,2024-10-20,Beli buku pelajaran,Education,expense,217472.93,2024-10,7
1,2024-10-25,Makan siang di restoran,Food & Dining,expense,264905.36,2024-10,1
1,2024-10-08,Bayar air PDAM,Bills & Utilities,expense,32779.25,2024-10,4
1,2024-10-12,Cashback e-wallet,Other Income,income,462214.7,2024-10,11
1,2024-10-18,Pendapatan toko online,Business,income,305922.29,2024-10,9
1,2024-10-20,Bayar air PDAM,Bills & Utilities,expense,78548.42,2024-10,4
1,2024-10-18,Beli nasi padang,Food & Dining,expense,396539.09,2024-10,1
1,2024-10-15,Beli obat di apotek,Health & Medical,expense,494269.45,2024-10,6
1,2024-10-19,Main game online,Entertainment,expense,410073.66,2024-10,5
1,2024-10-18,Belanja kebutuhan rumah tangga,Shopping,expense,273154.23,2024-10,3
1,2024-10-25,Gaji bulan November,Salary,income,351374.4,2024-10,8
1,2024-10-29,Potongan e-wallet,Other Expense,expense,227167.8,2024-10,12
1,2024-10-28,Donasi ke panti asuhan,Gift & Donation,expense,383797.48,2024-10,10
1,2024-10-18,Donasi ke panti asuhan,Gift & Donation,expense,185246.89,2024-10,10
1,2024-10-28,Penjualan produk digital,Business,income,169787.98,2024-10,9
1,2024-10-03,Beli tiket konser,Entertainment,expense,161252.78,2024-10,5
1,2024-10-09,Pendapatan toko online,Business,income,339963.95,2024-10,9
1,2024-10-29,Keuntungan usaha kecil,Business,income,290708.91,2024-10,9
1,2024-10-24,Beli baju di Uniqlo,Shopping,expense,188500.38,2024-10,3
1,2024-10-18,Sedekah Jumat,Gift & Donation,expense,409496.84,2024-10,10
1,2024-10-30,Penjualan produk digital,Business,income,93813.42,2024-10,9
1,2024-10-10,Bayar uang sekolah,Education,expense,266756.49,2024-10,7
1,2024-10-19,Donasi ke panti asuhan,Gift & Donation,expense,262514.45,2024-10,10
1,2024-10-07,Beli buku pelajaran,Education,expense,118732.49,2024-10,7
1,2024-10-28,Bayar air PDAM,Bills & Utilities,expense,323385.94,2024-10,4
1,2024-10-01,Donasi ke panti asuhan,Gift & Donation,expense,144058.01,2024-10,10
1,2024-10-30,Naik KRL ke kantor,Transportation,expense,228263.41,2024-10,2
1,2024-10-08,Beli sepatu di marketplace,Shopping,expense,431335.27,2024-10,3
1,2024-10-30,Biaya parkir,Other Expense,expense,144496.16,2024-10,12
1,2024-10-05,Belanja kebutuhan rumah tangga,Shopping,expense,375862.85,2024-10,3
1,2024-10-15,Kursus online,Education,expense,310319.48,2024-10,7
1,2024-10-05,Beli baju di Uniqlo,Shopping,expense,467051.69,2024-10,3
1,2024-10-23,Bayar pulsa,Bills & Utilities,expense,171352.35,2024-10,4
